,Crash ID,Month,Year,Dayweek,Time,Crash Type,Number Fatalities,Speed Limit,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day
3917,20175044,1,2017,Wednesday,18:30,Single,1,80,National or State Highway,No,No,Weekday,Night
3924,20175013,1,2017,Sunday,10:23,Single,1,-9,Arterial Road,No,No,Weekend,Day
3935,20175062,1,2017,Tuesday,15:21,Multiple,1,70,Local Road,Yes,No,Weekday,Day
3939,20175082,1,2017,Monday,18:27,Single,1,110,Local Road,Yes,No,Weekday,Night
3941,20175058,1,2017,Sunday,16:30,Multiple,1,100,National or State Highway,Yes,No,Weekend,Day
3942,20175089,1,2017,Sunday,17:14,Multiple,1,70,Arterial Road,Yes,No,Weekend,Day
3952,20165036,12,2016,Wednesday,19:30,Multiple,1,50,LOCAL ROAD,Yes,No,Weekday,Night
3960,20165027,12,2016,Monday,15:29,Single,1,110,LOCAL ROAD,Yes,No,Weekday,Day
3968,20165081,12,2016,Saturday,1:10,Multiple,1,110,NATIONAL OR STATE HIGHWAY,Yes,No,Weekend,Night
3969,20165025,12,2016,Friday,4:50,Single,1,110,NATIONAL OR STATE HIGHWAY,Yes,No,Weekday,Night
3972,20165151,12,2016,Wednesday,16:19,Single,1,110,LOCAL ROAD,No,No,Weekday,Day
3984,20165039,12,2016,Saturday,5:20,Single,1,70,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
3993,20165012,12,2016,Thursday,22:31,Single,2,50,LOCAL ROAD,No,No,Weekday,Night
3998,20165158,12,2016,Wednesday,14:30,Single,1,90,ARTERIAL ROAD,No,No,Weekday,Day
3999,20165088,12,2016,Wednesday,10:15,Single,1,110,LOCAL ROAD,No,No,Weekday,Day
4004,20165162,12,2016,Monday,5:00,Single,1,110,ARTERIAL ROAD,No,No,Weekend,Night
4005,20165062,12,2016,Monday,11:40,Multiple,2,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
4018,20165105,12,2016,Saturday,19:38,Single,1,70,ARTERIAL ROAD,No,No,Weekend,Night
4021,20165032,12,2016,Friday,15:20,Single,1,110,,No,No,Weekday,Day
4022,20165110,12,2016,Friday,15:25,Single,2,110,LOCAL ROAD,No,No,Weekday,Day
4029,20165131,12,2016,Tuesday,21:00,Pedestrian,1,60,LOCAL ROAD,No,No,Weekday,Night
4034,20165113,12,2016,Sunday,3:33,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
4057,20165066,11,2016,Monday,15:40,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
4063,20165078,11,2016,Sunday,20:55,Pedestrian,1,60,ARTERIAL ROAD,No,No,Weekend,Night
4069,20165126,11,2016,Friday,6:35,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Day
4070,20165003,11,2016,Thursday,6:45,Pedestrian,1,100,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
4080,20165160,11,2016,Tuesday,0:20,Single,1,50,LOCAL ROAD,No,No,Weekday,Night
4092,20165156,11,2016,Sunday,12:50,Single,2,110,LOCAL ROAD,No,No,Weekend,Day
4097,20165041,11,2016,Saturday,22:00,Multiple,1,70,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
4098,20165136,11,2016,Saturday,22:21,Multiple,1,80,ARTERIAL ROAD,No,No,Weekend,Night
4100,20165043,11,2016,Friday,0:10,Single,1,60,ARTERIAL ROAD,No,No,Weekday,Night
4114,20165125,11,2016,Tuesday,17:25,Multiple,1,80,,No,No,Weekday,Day
4118,20165168,11,2016,Sunday,17:45,Single,1,90,LOCAL ROAD,No,No,Weekend,Day
4119,20165077,11,2016,Sunday,14:07,Single,1,80,ARTERIAL ROAD,No,No,Weekend,Day
4123,20165089,11,2016,Saturday,21:45,Single,1,60,ARTERIAL ROAD,No,No,Weekend,Night
4125,20165117,11,2016,Friday,5:56,Multiple,1,100,LOCAL ROAD,No,No,Weekday,Night
4142,20165011,11,2016,Saturday,22:20,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
4144,20165119,11,2016,Thursday,0:15,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night
4151,20165034,10,2016,Sunday,16:02,Single,1,-9,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
4165,20165071,10,2016,Tuesday,18:35,Single,1,70,ARTERIAL ROAD,No,No,Weekday,Night
4173,20165167,10,2016,Sunday,16:12,Single,1,110,LOCAL ROAD,No,No,Weekend,Day
4178,20165138,10,2016,Saturday,11:55,Single,2,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
4187,20165022,10,2016,Thursday,18:17,Multiple,1,50,LOCAL ROAD,No,No,Weekday,Night
4188,20165101,10,2016,Thursday,15:05,Multiple,1,50,LOCAL ROAD,No,No,Weekday,Day
4191,20165086,10,2016,Wednesday,15:19,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Day
4203,20165023,10,2016,Saturday,0:27,Single,1,60,ARTERIAL ROAD,No,No,Weekend,Night
4215,20165097,10,2016,Wednesday,20:48,Single,1,70,ARTERIAL ROAD,No,No,Weekday,Night
4216,20165128,10,2016,Wednesday,10:48,Multiple,1,80,LOCAL ROAD,No,No,Weekday,Day
4218,20165038,10,2016,Tuesday,19:35,Pedestrian,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night
4225,20165170,10,2016,Sunday,21:31,Multiple,1,70,ARTERIAL ROAD,No,No,Weekend,Night
4235,20165087,10,2016,Friday,9:20,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Day
4247,20165018,10,2016,Sunday,3:30,Single,1,110,LOCAL ROAD,No,No,Weekend,Night
4248,20165069,10,2016,Sunday,9:48,Multiple,2,110,ARTERIAL ROAD,No,No,Weekend,Day
4253,20165122,10,2016,Saturday,23:30,Single,1,110,ARTERIAL ROAD,No,No,Weekend,Night
4254,20165121,10,2016,Saturday,11:50,Single,3,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
4265,20165102,9,2016,Tuesday,20:00,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Night
4276,20165085,9,2016,Saturday,8:56,Single,1,90,LOCAL ROAD,No,No,Weekend,Day
4285,20165010,9,2016,Wednesday,16:00,Single,1,100,LOCAL ROAD,No,No,Weekday,Day
4286,20165165,9,2016,Tuesday,18:47,Pedestrian,1,70,ARTERIAL ROAD,No,No,Weekday,Night
4298,20165007,9,2016,Saturday,19:31,Multiple,2,70,LOCAL ROAD,No,No,Weekend,Night
4307,20165157,9,2016,Tuesday,22:20,Single,1,90,ARTERIAL ROAD,No,No,Weekday,Night
4310,20165149,9,2016,Monday,0:22,Single,1,80,LOCAL ROAD,No,No,Weekend,Night
4316,20165115,9,2016,Saturday,14:58,Single,1,50,LOCAL ROAD,No,No,Weekend,Day
4326,20165053,9,2016,Monday,16:35,Multiple,1,100,LOCAL ROAD,No,No,Weekday,Day
4337,20165109,9,2016,Friday,15:40,Multiple,1,60,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
4342,20165146,9,2016,Thursday,15:45,Single,1,70,ARTERIAL ROAD,No,No,Weekday,Day
4344,20165099,8,2016,Wednesday,22:41,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Night
4362,20165024,8,2016,Friday,13:45,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
4370,20165058,8,2016,Wednesday,22:55,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night
4379,20165133,8,2016,Saturday,11:55,Multiple,1,70,LOCAL ROAD,No,No,Weekend,Day
4390,20165068,8,2016,Thursday,23:14,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Night
4392,20165028,8,2016,Wednesday,12:09,Multiple,1,60,ARTERIAL ROAD,No,No,Weekday,Day
4396,20165123,8,2016,Tuesday,11:45,Single,2,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
4398,20165067,8,2016,Monday,10:09,Multiple,1,60,ARTERIAL ROAD,No,No,Weekday,Day
4402,20165103,8,2016,Sunday,19:01,Multiple,3,90,ARTERIAL ROAD,No,No,Weekend,Night
4403,20165009,8,2016,Sunday,16:15,Multiple,1,100,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
4404,20165095,8,2016,Sunday,13:54,Single,1,70,LOCAL ROAD,No,No,Weekend,Day
4418,20165140,8,2016,Thursday,11:05,Multiple,1,60,ARTERIAL ROAD,No,No,Weekday,Day
4430,20165050,8,2016,Sunday,1:37,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
4433,20165107,8,2016,Saturday,19:30,Single,1,-9,ARTERIAL ROAD,No,No,Weekend,Night
4454,20165152,7,2016,Sunday,20:00,Single,1,110,LOCAL ROAD,No,No,Weekend,Night
4462,20165143,7,2016,Friday,18:00,Pedestrian,1,60,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
4483,20165017,7,2016,Friday,10:30,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
4490,20165144,7,2016,Wednesday,0:35,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Night
4494,20165083,7,2016,Tuesday,17:09,Multiple,1,110,ARTERIAL ROAD,No,No,Weekday,Day
4503,20165055,7,2016,Sunday,22:39,Single,1,100,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
4507,20165094,7,2016,Saturday,21:30,Pedestrian,1,110,ARTERIAL ROAD,No,No,Weekend,Night
4508,20165045,7,2016,Saturday,16:50,Multiple,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
4515,20165090,7,2016,Thursday,15:48,Single,1,100,LOCAL ROAD,No,No,Weekday,Day
4532,20165073,7,2016,Saturday,7:48,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
4537,20165150,7,2016,Friday,23:00,Single,1,50,LOCAL ROAD,No,No,Weekend,Night
4538,20165106,7,2016,Friday,19:08,Single,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
4539,20165031,7,2016,Friday,14:54,Multiple,1,80,LOCAL ROAD,No,No,Weekday,Day
4541,20165084,7,2016,Thursday,14:33,Multiple,1,50,LOCAL ROAD,No,No,Weekday,Day
4543,20165056,7,2016,Wednesday,21:58,Pedestrian,1,90,ARTERIAL ROAD,No,No,Weekday,Night
4544,20165005,7,2016,Wednesday,6:55,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
4548,20165054,7,2016,Sunday,15:50,Multiple,1,110,ARTERIAL ROAD,No,No,Weekend,Day
4555,20165046,7,2016,Saturday,21:55,Single,1,80,ARTERIAL ROAD,No,No,Weekend,Night
4559,20165037,7,2016,Friday,18:26,Single,1,50,LOCAL ROAD,No,No,Weekend,Night
4591,20165134,6,2016,Saturday,8:00,Single,1,110,,No,No,Weekend,Day
4600,20165064,6,2016,Thursday,0:01,Single,1,110,LOCAL ROAD,No,No,Weekday,Night
4606,20165042,6,2016,Tuesday,8:07,Single,1,110,LOCAL ROAD,No,No,Weekday,Day
4612,20165130,6,2016,Sunday,18:40,Single,1,-9,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
4620,20165001,6,2016,Friday,21:10,Single,1,60,ARTERIAL ROAD,No,No,Weekend,Night
4625,20165048,6,2016,Thursday,13:06,Single,1,80,ARTERIAL ROAD,No,No,Weekday,Day
4626,20165051,6,2016,Thursday,15:20,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
4632,20165029,6,2016,Monday,19:14,Pedestrian,1,60,LOCAL ROAD,No,No,Weekday,Night
4644,20165120,6,2016,Thursday,16:11,Multiple,1,50,LOCAL ROAD,No,No,Weekday,Day
4647,20165166,6,2016,Wednesday,5:40,Single,1,50,LOCAL ROAD,No,No,Weekday,Night
4649,20165139,5,2016,Tuesday,22:08,Multiple,1,80,ARTERIAL ROAD,No,No,Weekday,Night
4650,20165112,5,2016,Tuesday,8:50,Single,1,70,LOCAL ROAD,No,No,Weekday,Day
4660,20165163,5,2016,Saturday,17:26,Multiple,1,80,LOCAL ROAD,No,No,Weekend,Day
4688,20165013,5,2016,Friday,19:41,Single,1,100,LOCAL ROAD,No,No,Weekend,Night
4692,20165100,5,2016,Wednesday,19:50,Multiple,2,110,ARTERIAL ROAD,No,No,Weekday,Night
4712,20165061,5,2016,Friday,6:53,Pedestrian,1,60,ARTERIAL ROAD,No,No,Weekday,Day
4717,20165063,5,2016,Thursday,14:57,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
4723,20165008,5,2016,Tuesday,10:30,Single,1,110,,No,No,Weekday,Day
4727,20165145,5,2016,Sunday,22:30,Single,1,50,ARTERIAL ROAD,No,No,Weekend,Night
4728,20165164,5,2016,Sunday,17:45,Multiple,1,70,ARTERIAL ROAD,No,No,Weekend,Day
4731,20165035,5,2016,Saturday,15:35,Single,1,110,ARTERIAL ROAD,No,No,Weekend,Day
4736,20165002,5,2016,Thursday,5:04,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night
4747,20165049,5,2016,Sunday,8:00,Single,1,110,,No,No,Weekend,Day
4758,20165111,4,2016,Wednesday,18:00,Pedestrian,1,90,,No,No,Weekday,Night
4785,20165006,4,2016,Wednesday,15:56,Multiple,1,110,ARTERIAL ROAD,No,No,Weekday,Day
4788,20165040,4,2016,Tuesday,8:00,Single,2,110,,No,No,Weekday,Day
4794,20165129,4,2016,Sunday,12:52,Multiple,2,50,ARTERIAL ROAD,No,No,Weekend,Day
4795,20165135,4,2016,Sunday,12:36,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
4804,20165091,4,2016,Friday,17:41,Multiple,1,110,ARTERIAL ROAD,No,No,Weekday,Day
4812,20165033,4,2016,Wednesday,20:55,Single,1,-9,,No,No,Weekday,Night
4831,20165141,4,2016,Friday,17:10,Pedestrian,1,50,LOCAL ROAD,No,No,Weekday,Day
4837,20165047,4,2016,Monday,19:01,Multiple,1,60,ARTERIAL ROAD,No,No,Weekday,Night
4852,20165155,3,2016,Tuesday,15:00,Multiple,1,60,ARTERIAL ROAD,No,No,Weekday,Day
4853,20165052,3,2016,Tuesday,10:15,Multiple,1,60,,No,No,Weekday,Day
4856,20165142,3,2016,Monday,12:10,Single,1,80,LOCAL ROAD,No,Yes,Weekday,Day
4858,20165021,3,2016,Friday,12:30,Multiple,1,110,ARTERIAL ROAD,No,Yes,Weekday,Day
4861,20165093,3,2016,Thursday,6:30,Single,1,60,LOCAL ROAD,No,Yes,Weekday,Day
4862,20165148,3,2016,Wednesday,21:00,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night
4870,20165161,3,2016,Monday,15:30,Multiple,1,110,LOCAL ROAD,No,No,Weekday,Day
4876,20165153,3,2016,Saturday,10:45,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
4888,20165075,3,2016,Tuesday,21:07,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Night
4901,20165137,3,2016,Saturday,15:15,Single,1,110,LOCAL ROAD,No,No,Weekend,Day
4919,20165019,3,2016,Tuesday,13:26,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
4922,20165116,3,2016,Monday,8:00,Single,1,60,ARTERIAL ROAD,No,No,Weekday,Day
4926,20165044,3,2016,Sunday,21:00,Multiple,3,90,ARTERIAL ROAD,No,No,Weekend,Night
4927,20165015,3,2016,Sunday,11:30,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
4928,20165020,3,2016,Sunday,7:15,Single,1,110,ARTERIAL ROAD,No,No,Weekend,Day
4934,20165059,3,2016,Saturday,23:50,Single,3,60,ARTERIAL ROAD,No,No,Weekend,Night
4942,20165080,3,2016,Thursday,8:00,Multiple,2,50,,No,No,Weekday,Day
4980,20165026,2,2016,Saturday,13:26,Single,1,110,ARTERIAL ROAD,No,No,Weekend,Day
4982,20165169,2,2016,Friday,22:10,Single,2,110,LOCAL ROAD,No,No,Weekend,Night
4993,20165004,2,2016,Tuesday,18:15,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Night
4994,20165070,2,2016,Tuesday,12:00,Pedestrian,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
4995,20165132,2,2016,Tuesday,12:00,Pedestrian,1,50,,No,No,Weekday,Day
5007,20165104,2,2016,Thursday,0:45,Single,1,70,,No,No,Weekday,Night
5023,20165098,2,2016,Sunday,12:26,Multiple,1,60,ARTERIAL ROAD,No,No,Weekend,Day
5028,20165124,2,2016,Saturday,21:30,Single,1,110,,No,No,Weekend,Night
5029,20165147,2,2016,Saturday,22:45,Multiple,1,60,LOCAL ROAD,No,No,Weekend,Night
5037,20165057,2,2016,Wednesday,21:00,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Night
5038,20165016,2,2016,Wednesday,6:39,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5049,20165127,1,2016,Friday,21:19,Single,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
5050,20165154,1,2016,Friday,15:24,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Day
5061,20165072,1,2016,Wednesday,5:00,Single,1,110,,No,No,Weekday,Night
5062,20165074,1,2016,Wednesday,8:01,Single,1,110,,No,No,Weekday,Day
5073,20165014,1,2016,Sunday,19:53,Single,1,80,LOCAL ROAD,No,No,Weekend,Night
5082,20165030,1,2016,Friday,2:30,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night
5083,20165079,1,2016,Friday,9:35,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5088,20165096,1,2016,Wednesday,7:40,Multiple,2,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5095,20165082,1,2016,Monday,17:29,Multiple,2,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5106,20165065,1,2016,Thursday,18:45,Pedestrian,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night
5107,20165118,1,2016,Thursday,15:35,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5118,20165092,1,2016,Sunday,11:45,Single,1,90,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
5124,20165060,1,2016,Saturday,2:15,Single,1,100,LOCAL ROAD,No,No,Weekend,Night
5125,20165076,1,2016,Saturday,16:10,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
5127,20165108,1,2016,Friday,8:00,Multiple,1,70,,No,No,Weekday,Day
5133,20165114,1,2016,Monday,15:47,Single,1,110,LOCAL ROAD,No,No,Weekday,Day
5138,20165159,1,2016,Saturday,17:20,Multiple,1,110,ARTERIAL ROAD,Yes,No,Weekend,Day
5161,20155003,12,2015,Friday,17:30,Single,1,110,NATIONAL OR STATE HIGHWAY,Yes,No,Weekday,Day
5170,20155116,12,2015,Tuesday,12:38,Multiple,1,60,LOCAL ROAD,No,No,Weekday,Day
5175,20155081,12,2015,Sunday,1:20,Pedestrian,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
5176,20155035,12,2015,Sunday,10:10,Single,1,110,ARTERIAL ROAD,No,No,Weekend,Day
5183,20155139,12,2015,Friday,15:15,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Day
5186,20155045,12,2015,Thursday,4:55,Single,1,110,,No,No,Weekday,Night
5191,20155102,12,2015,Wednesday,6:12,Multiple,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5192,20155080,12,2015,Wednesday,14:45,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5198,20155103,12,2015,Sunday,18:18,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
5200,20155021,12,2015,Saturday,14:30,Single,1,100,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
5215,20155009,12,2015,Sunday,5:41,Multiple,1,80,LOCAL ROAD,No,No,Weekend,Night
5220,20155018,12,2015,Friday,2:43,Single,1,110,LOCAL ROAD,No,No,Weekday,Night
5224,20155044,12,2015,Wednesday,21:44,Single,3,70,ARTERIAL ROAD,No,No,Weekday,Night
5225,20155011,12,2015,Wednesday,15:09,Multiple,1,50,LOCAL ROAD,No,No,Weekday,Day
5226,20155034,12,2015,Tuesday,23:18,Single,1,70,ARTERIAL ROAD,No,No,Weekday,Night
5234,20155121,11,2015,Monday,8:15,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Day
5235,20155063,11,2015,Monday,11:56,Pedestrian,1,50,ARTERIAL ROAD,No,No,Weekday,Day
5245,20155140,11,2015,Thursday,0:56,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Night
5254,20155004,11,2015,Monday,3:03,Single,2,90,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
5258,20155006,11,2015,Saturday,15:00,Single,1,110,LOCAL ROAD,No,No,Weekend,Day
5267,20155026,11,2015,Wednesday,14:24,Multiple,1,110,ARTERIAL ROAD,No,No,Weekday,Day
5274,20155024,11,2015,Monday,14:45,Pedestrian,1,60,ARTERIAL ROAD,No,No,Weekday,Day
5297,20155112,11,2015,Saturday,9:25,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Day
5303,20155058,11,2015,Friday,18:03,Single,1,60,ARTERIAL ROAD,No,No,Weekend,Night
5314,20155071,11,2015,Sunday,17:20,Multiple,1,80,ACCESS ROAD,No,No,Weekend,Day
5324,20155042,10,2015,Wednesday,20:15,Single,1,70,LOCAL ROAD,No,No,Weekday,Night
5331,20155076,10,2015,Monday,13:23,Multiple,1,70,ARTERIAL ROAD,No,No,Weekday,Day
5332,20155130,10,2015,Monday,14:20,Multiple,1,80,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5354,20155015,10,2015,Thursday,5:40,Multiple,1,90,LOCAL ROAD,No,No,Weekday,Night
5361,20155114,10,2015,Monday,0:50,Multiple,1,70,,No,No,Weekend,Night
5362,20155086,10,2015,Monday,16:10,Multiple,1,110,,No,No,Weekday,Day
5373,20155053,10,2015,Saturday,20:30,Single,1,110,,No,No,Weekend,Night
5399,20155097,10,2015,Saturday,5:39,Single,1,110,ARTERIAL ROAD,No,No,Weekend,Night
5400,20155029,10,2015,Friday,17:32,Pedestrian,1,60,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5415,20155008,10,2015,Monday,13:20,Multiple,2,110,,No,No,Weekday,Day
5430,20155137,10,2015,Thursday,16:41,Multiple,1,50,LOCAL ROAD,No,No,Weekday,Day
5438,20155072,9,2015,Monday,16:48,Single,2,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5441,20155129,9,2015,Sunday,7:09,Multiple,1,80,,No,No,Weekend,Day
5442,20155111,9,2015,Sunday,14:40,Single,1,-9,ARTERIAL ROAD,No,No,Weekend,Day
5446,20155030,9,2015,Saturday,15:00,Single,1,110,,No,No,Weekend,Day
5450,20155117,9,2015,Friday,19:58,Multiple,1,90,,No,No,Weekend,Night
5453,20155135,9,2015,Thursday,22:22,Single,2,80,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night
5469,20155099,9,2015,Saturday,16:00,Single,1,90,ARTERIAL ROAD,No,No,Weekend,Day
5471,20155122,9,2015,Friday,14:20,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Day
5475,20155106,9,2015,Thursday,21:01,Single,1,50,LOCAL ROAD,No,No,Weekday,Night
5495,20155120,9,2015,Saturday,23:09,Pedestrian,1,60,ARTERIAL ROAD,No,No,Weekend,Night
5498,20155037,9,2015,Thursday,17:56,Single,1,90,LOCAL ROAD,No,No,Weekday,Day
5514,20155096,9,2015,Thursday,18:51,Pedestrian,1,60,ARTERIAL ROAD,No,No,Weekday,Night
5517,20155043,9,2015,Tuesday,18:52,Pedestrian,1,50,LOCAL ROAD,No,No,Weekday,Night
5522,20155020,8,2015,Sunday,7:53,Single,1,90,LOCAL ROAD,No,No,Weekend,Day
5537,20155094,8,2015,Monday,5:30,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
5553,20155032,8,2015,Thursday,15:12,Pedestrian,1,80,ARTERIAL ROAD,No,No,Weekday,Day
5563,20155056,8,2015,Tuesday,23:45,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Night
5564,20155041,8,2015,Tuesday,15:00,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5570,20155027,8,2015,Monday,2:19,Single,1,110,ARTERIAL ROAD,No,No,Weekend,Night
5571,20155108,8,2015,Monday,2:05,Multiple,3,90,ARTERIAL ROAD,No,No,Weekend,Night
5572,20155119,8,2015,Monday,15:23,Multiple,1,60,ARTERIAL ROAD,No,No,Weekday,Day
5594,20155061,8,2015,Tuesday,13:45,Single,1,50,LOCAL ROAD,No,No,Weekday,Day
5597,20155059,8,2015,Monday,10:01,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5610,20155074,8,2015,Wednesday,19:20,Multiple,1,110,ARTERIAL ROAD,No,No,Weekday,Night
5611,20155062,8,2015,Wednesday,9:38,Multiple,1,70,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5615,20155028,8,2015,Tuesday,21:06,Multiple,1,70,LOCAL ROAD,No,No,Weekday,Night
5616,20155101,8,2015,Tuesday,1:49,Single,1,60,ARTERIAL ROAD,No,No,Weekday,Night
5622,20155051,8,2015,Sunday,14:00,Single,1,110,LOCAL ROAD,No,No,Weekend,Day
5628,20155012,8,2015,Saturday,6:51,Multiple,4,70,ARTERIAL ROAD,No,No,Weekend,Day
5641,20155040,7,2015,Tuesday,22:49,Single,1,100,ARTERIAL ROAD,No,No,Weekday,Night
5660,20155093,7,2015,Wednesday,22:44,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night
5671,20155019,7,2015,Saturday,19:15,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
5697,20155001,7,2015,Monday,22:25,Pedestrian,1,100,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Night
5710,20155113,7,2015,Friday,17:00,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Day
5719,20155067,6,2015,Tuesday,19:39,Single,1,110,ARTERIAL ROAD,No,No,Weekday,Night
5739,20155002,6,2015,Wednesday,10:54,Multiple,1,50,LOCAL ROAD,No,No,Weekday,Day
5743,20155064,6,2015,Saturday,4:20,Single,1,80,ARTERIAL ROAD,No,No,Weekend,Night
5759,20155005,6,2015,Tuesday,17:00,Pedestrian,1,60,ARTERIAL ROAD,No,No,Weekday,Day
5769,20155068,6,2015,Saturday,19:30,Single,1,100,LOCAL ROAD,No,No,Weekend,Night
5774,20155133,6,2015,Wednesday,15:28,Multiple,1,90,ARTERIAL ROAD,No,No,Weekday,Day
5775,20155090,6,2015,Wednesday,15:22,Multiple,1,100,ARTERIAL ROAD,No,No,Weekday,Day
5779,20155092,6,2015,Monday,2:34,Single,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekend,Night
5780,20155031,6,2015,Monday,13:50,Single,2,110,ARTERIAL ROAD,No,No,Weekday,Day
5809,20155052,5,2015,Saturday,9:31,Single,1,110,ARTERIAL ROAD,No,No,Weekend,Day
5817,20155107,5,2015,Thursday,18:13,Single,1,90,ARTERIAL ROAD,No,No,Weekday,Night
5836,20155131,5,2015,Friday,11:18,Multiple,1,110,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day
5854,20155127,5,2015,Saturday,3:16,Single,1,110,,No,No,Weekend,Night
5856,20155083,5,2015,Friday,10:49,Multiple,1,50,,No,No,Weekday,Day
5873,20155016,5,2015,Saturday,12:12,Single,1,110,LOCAL ROAD,No,No,Weekend,Day
