,ACC_ID,ROAD_NO,COMMON_ROAD_NAME,CWAY,LONGITUDE,LATITUDE,CRASH_DATE,CRASH_TIME,ACCIDENT_TYPE,SEVERITY,EVENT_NATURE,EVENT_TYPE,TOTAL_BIKE_INVOLVED,TOTAL_TRUCK_INVOLVED,TOTAL_HEAVY_TRUCK_INVOLVED,TOTAL_MOTOR_CYCLE_INVOLVED,TOTAL_OTHER_VEHICLES_INVOLVED,TOTAL_PEDESTRIANS_INVOLVED,CRASH_TIME_HRS,CRASH_TIME_MIN,YEAR,MONTH
87,9910611,H551,Kwinana Fwy (Northbound) off to Canning Hwy,S,115.856525,-32.012194,11/11/2018,30,Midblock,PDO Minor,Others,Others,0,0,0,0,1,0,0,30,2018,11
98,9909716,1030953,Beeliar Dr,L,115.856837,-32.128231,11/11/2018,2035,Midblock,PDO Minor,Others,Others,0,0,0,0,2,0,20,35,2018,11
124,9909338,1090655,Beechboro Rd North,S,115.924768,-31.858773,16/11/2018,1620,Intersection,PDO Major,Others,Others,0,0,0,0,2,0,16,20,2018,11
130,9904809,1180008,Adelaide St,S,115.748897,-32.051911,22/11/2018,1415,Intersection,PDO Minor,Others,Others,0,0,0,0,2,0,14,15,2018,11
154,9914984,1250009,Light St,S,115.883904,-31.892017,27/11/2018,810,Intersection,PDO Major,Others,Others,0,0,0,0,2,0,8,10,2018,11
181,9915173,1030501,Farrington Rd,L,115.837982,-32.079783,2/12/2018,1525,Intersection,PDO Major,Others,Others,0,0,0,0,2,0,15,25,2018,12
192,9915669,H002,Ennis Av,L,115.768876,-32.34465,2/12/2018,1115,Midblock,PDO Minor,Others,Others,0,0,0,1,1,0,11,15,2018,12
197,9915893,1310972,Poynter Dr,S,115.772531,-31.835854,2/12/2018,1940,Intersection,PDO Major,Others,Others,0,0,0,0,2,0,19,40,2018,12
210,9920503,1314103,Regents Park Rd,S,115.771097,-31.737383,7/12/2018,1415,Midblock,PDO Major,Others,Others,0,0,0,0,1,0,14,15,2018,12
235,9918177,1060049,Myles Rd,S,116.041497,-31.8849,12/12/2018,1210,Midblock,Medical,Others,Others,0,0,0,1,0,0,12,10,2018,12
329,9930220,1061039,Helena Valley Rd,S,116.024125,-31.914367,31/12/2018,200,Midblock,PDO Major,Others,Others,0,0,0,0,1,0,2,0,2018,12
361,9943436,1120035,Katanning St,S,115.929961,-31.919829,14/01/2019,1440,Midblock,PDO Minor,Others,Others,0,0,0,0,2,0,14,40,2019,1
434,10056123,H017,Tonkin Hwy,R,115.917945,-31.892715,4/07/2019,1540,Midblock,PDO Minor,Others,Others,0,0,0,0,1,0,15,40,2019,7
470,10061767,4330005,Burges Siding Rd,S,116.785296,-31.810553,15/07/2019,1435,Midblock,Medical,Others,Others,0,0,0,0,1,0,14,35,2019,7
500,9927180,H014,Stirling Hwy,S,115.803692,-31.979118,17/12/2018,1820,Intersection,PDO Major,Others,Others,0,0,0,0,2,0,18,20,2018,12
569,9948887,1240111,Hay St,S,115.856807,-31.953496,30/12/2018,1200,Midblock,PDO Major,Others,Others,0,0,0,0,1,0,12,0,2018,12
571,10047666,H005,Great Eastern Hwy,S,115.953302,-31.924619,30/12/2018,2011,Midblock,PDO Minor,Others,Others,0,0,0,0,2,0,20,11,2018,12
742,10062644,2050022,Payne Rd,S,115.20021,-33.750725,20/07/2019,515,Midblock,PDO Major,Others,Others,0,0,0,0,1,0,5,15,2019,7
746,10062686,1080200,Thomas Rd,S,115.985566,-32.206955,20/07/2019,1445,Midblock,PDO Minor,Others,Others,0,0,0,0,1,0,14,45,2019,7
761,10069819,1090698,Alexander Dr,S,115.87852,-31.859572,26/07/2019,700,Intersection,PDO Major,Others,Others,0,1,0,0,1,0,7,0,2019,7
782,10072865,1240038,William St,S,115.856294,-31.955125,1/08/2019,1000,Midblock,PDO Major,Others,Others,0,0,0,0,2,0,10,0,2019,8
784,10057518,1040012,Austin Av,L,115.982051,-32.039998,1/08/2019,1642,Intersection,PDO Major,Others,Others,0,1,0,0,0,0,16,42,2019,8
810,10077900,1190002,Riseley St,L,115.838014,-32.036441,7/08/2019,1120,Intersection,PDO Major,Others,Others,0,0,0,0,2,0,11,20,2019,8
886,10085800,1070007,Rockingham Beach Rd,S,115.728959,-32.276009,23/08/2019,1005,Intersection,PDO Minor,Others,Others,0,0,0,0,2,0,10,5,2019,8
893,10085991,1240106,Milligan St,S,115.852125,-31.950726,23/08/2019,1105,Intersection,PDO Major,Others,Others,0,0,0,0,2,0,11,5,2019,8
902,10086308,2120143,Tuckey St,S,115.722046,-32.532646,23/08/2019,1010,Midblock,PDO Minor,Others,Others,0,0,0,0,2,0,10,10,2019,8
932,10091810,1311664,Shenton Av,L,115.763634,-31.739098,29/08/2019,2020,Intersection,PDO Major,Others,Others,0,0,0,0,2,0,20,20,2019,8
944,10037537,1250050,Beaufort St,S,115.878548,-31.927587,9/06/2019,1750,Midblock,PDO Major,Others,Others,0,0,0,0,2,0,17,50,2019,6
952,10034059,1030041,Henderson Rd,S,115.811305,-32.147704,9/06/2019,2030,Midblock,PDO Major,Others,Others,0,0,0,0,1,1,20,30,2019,6
969,9994901,1091114,Morrison Rd,L,116.015219,-31.886132,4/04/2019,915,Intersection,PDO Major,Others,Others,0,0,0,0,2,0,9,15,2019,4
1003,9998406,1260225,Darley St,S,115.853988,-31.973414,9/04/2019,855,Midblock,PDO Major,Others,Others,0,0,0,0,1,0,8,55,2019,4
1032,10027526,2120716,Meadow Springs Dr,S,115.746527,-32.493866,26/05/2019,1530,Midblock,PDO Minor,Others,Others,0,0,0,0,1,0,15,30,2019,5
1036,10027599,H005,Great Eastern Hwy,S,115.946559,-31.928846,26/05/2019,1800,Intersection,PDO Minor,Others,Others,0,0,0,0,2,0,18,0,2019,5
1076,10030380,H005,Great Eastern Hwy,S,116.01529,-31.892146,1/06/2019,1315,Intersection,PDO Minor,Others,Others,0,0,0,0,2,0,13,15,2019,6
